start_indices,desitnation_indices,start_loc,end_loc,cost,truth
"(45, 442)","(78, 162)","57.625,-2.316666666666667","57.35,-4.65",253.93318,163.35
"(78, 162)","(486, 595)","57.35,-4.65","53.95,-1.041666666666667",568.9786,436.43333333333334
"(486, 595)","(332, 314)","53.95,-1.041666666666667","55.233333333333334,-3.3833333333333333",251.23888,175.95
"(332, 314)","(243, 390)","55.233333333333334,-3.3833333333333333","55.975,-2.75",132.50687,105.83333333333333
"(243, 390)","(450, 380)","55.975,-2.75","54.25,-2.8333333333333335",202.09546,187.48333333333332
"(450, 380)","(318, 385)","54.25,-2.8333333333333335","55.35,-2.7916666666666665",136.05331,131.56666666666666
"(318, 385)","(269, 339)","55.35,-2.7916666666666665","55.75833333333333,-3.175",85.56391,84.85
"(269, 339)","(144, 342)","55.75833333333333,-3.175","56.8,-3.15",140.73463,142.43333333333334
"(144, 342)","(44, 419)","56.8,-3.15","57.63333333333333,-2.5083333333333333",180.47311,136.5
"(57, 499)","(316, 32)","57.525,-1.8416666666666668","55.36666666666667,-5.733333333333333",521.5209350585938,372.31666666666666
"(316, 32)","(86, 477)","55.36666666666667,-5.733333333333333","57.28333333333333,-2.025",485.54833984375,346.45
"(86, 477)","(323, 281)","57.28333333333333,-2.025","55.30833333333334,-3.658333333333333",308.8517150878906,229.78333333333333
"(323, 281)","(193, 205)","55.30833333333334,-3.658333333333333","56.391666666666666,-4.291666666666667",147.08299255371094,128.41666666666666
"(193, 205)","(132, 21)","56.391666666666666,-4.291666666666667","56.9,-5.825",192.14817810058594,143.23333333333332
"(132, 21)","(60, 264)","56.9,-5.825","57.5,-3.8",223.714599609375,167.11666666666667
"(60, 264)","(362, 372)","57.5,-3.8","54.983333333333334,-2.9",370.2321472167969,271.31666666666666
"(362, 372)","(170, 189)","54.983333333333334,-2.9","56.583333333333336,-4.425",245.9996795654297,210.48333333333332
