
geometry,class,subtype
"((-73.0791833, -40.0013788), (-73.0791213, -40.0014001))",tertiary,road
"((-73.0791213, -40.0014001), (-73.0790295, -40.0014221))",tertiary,road
"((-73.0790295, -40.0014221), (-73.0789351, -40.0014359))",tertiary,road
"((-73.0789351, -40.0014359), (-73.0788392, -40.0014412))",tertiary,road
"((-73.0788392, -40.0014412), (-73.0784133, -40.0014608))",tertiary,road
"((-63.8531061, -37.89215), (-63.8534784, -37.8919077))",unclassified,road
"((-51.8808901, -28.0811299), (-51.8809953, -28.081004))",unclassified,road
"((-51.8809953, -28.081004), (-51.8811214, -28.0808526))",unclassified,road
"((-51.8811214, -28.0808526), (-51.8811958, -28.0807218))",unclassified,road
"((-51.8811958, -28.0807218), (-51.8812341, -28.0805994))",unclassified,road
"((-51.8812341, -28.0805994), (-51.8812327, -28.0804331))",unclassified,road
"((-63.8370356, -37.3935134), (-63.8370357, -37.3934704))",secondary,road
"((-49.0348591, -28.4832323), (-49.0347603, -28.4832967))",primary,road
"((-64.7424738, -26.5066694), (-64.7423781, -26.5064845))",tertiary,road
"((-64.7423781, -26.5064845), (-64.7423308, -26.506349))",tertiary,road
"((-64.7423308, -26.506349), (-64.7422379, -26.5059491))",tertiary,road
"((-51.9454611, -29.4390042), (-51.9451417, -29.4389517))",tertiary,road
"((-51.9451417, -29.4389517), (-51.9448346, -29.4388723))",tertiary,road
"((-51.9448346, -29.4388723), (-51.9445193, -29.4388329))",tertiary,road
"((-51.9445193, -29.4388329), (-51.9442513, -29.4388444))",tertiary,road
"((-51.9442513, -29.4388444), (-51.944016, -29.4388814))",tertiary,road
"((-60.3466103, -36.8971029), (-60.3457915, -36.8964549))",secondary,road
"((-69.1213206, -30.1935744), (-69.1214791, -30.1934225))",tertiary,road
"((-63.760426, -29.4359378), (-63.7606245, -29.4362228))",unclassified,road
"((-63.7606245, -29.4362228), (-63.7606406, -29.4363069))",unclassified,road
"((-63.7606406, -29.4363069), (-63.7602865, -29.4373814))",unclassified,road
"((-63.7602865, -29.4373814), (-63.7601256, -29.4379887))",unclassified,road
"((-51.7915262, -28.808881), (-51.7913626, -28.8086777))",secondary,road
"((-52.9736041, -25.4000628), (-52.9730219, -25.4004716))",tertiary,road
"((-52.9730219, -25.4004716), (-52.9713738, -25.4017692))",tertiary,road
"((-48.7037483, -28.2150705), (-48.7041378, -28.2150568))",secondary,road
"((-48.7041378, -28.2150568), (-48.7042006, -28.2150546))",secondary,road
"((-48.7042006, -28.2150546), (-48.7044573, -28.2150455))",secondary,road
"((-54.3340808, -24.8723835), (-54.333983, -24.8724159))",secondary,road
"((-70.6241237, -33.6235463), (-70.6240399, -33.6235396))",tertiary,road
"((-70.6240399, -33.6235396), (-70.623944, -33.6235268))",tertiary,road
"((-70.623944, -33.6235268), (-70.6238602, -33.6235106))",tertiary,road
"((-70.6238602, -33.6235106), (-70.6237891, -33.6234927))",tertiary,road
"((-70.6237891, -33.6234927), (-70.6234264, -33.6234029))",tertiary,road
"((-54.6910985, -27.7709712), (-54.6913515, -27.7712161))",unclassified,road
"((-54.6913515, -27.7712161), (-54.6917338, -27.7714291))",unclassified,road
"((-54.6917338, -27.7714291), (-54.6919886, -27.7714541))",unclassified,road
