geometry,class,subtype
"((-73.0766317, -40.0012604), (-73.0761007, -40.0011083))",tertiary,road
"((-63.8531061, -37.89215), (-63.8534784, -37.8919077))",unclassified,road
"((-51.8848604, -28.0776365), (-51.8851192, -28.077446))",unclassified,road
"((-63.8370356, -37.3935134), (-63.8370357, -37.3934704))",secondary,road
"((-49.0348591, -28.4832323), (-49.0347603, -28.4832967))",primary,road
"((-64.7424738, -26.5066694), (-64.7423781, -26.5064845))",tertiary,road
"((-51.9435614, -29.4390788), (-51.9434228, -29.4391851))",tertiary,road
"((-60.3466103, -36.8971029), (-60.3457915, -36.8964549))",secondary,road
"((-69.1213206, -30.1935744), (-69.1214791, -30.1934225))",tertiary,road
"((-63.7606406, -29.4363069), (-63.7602865, -29.4373814))",unclassified,road
"((-51.7915262, -28.808881), (-51.7913626, -28.8086777))",secondary,road
"((-52.9730219, -25.4004716), (-52.9713738, -25.4017692))",tertiary,road
"((-48.7042006, -28.2150546), (-48.7044573, -28.2150455))",secondary,road
"((-54.3340808, -24.8723835), (-54.333983, -24.8724159))",secondary,road
"((-70.6240399, -33.6235396), (-70.623944, -33.6235268))",tertiary,road
"((-54.6913515, -27.7712161), (-54.6917338, -27.7714291))",unclassified,road
"((-70.7555708, -33.5224913), (-70.7556616, -33.5224566))",tertiary,road
"((-60.7760646, -33.0014648), (-60.7762123, -33.0018384))",,rail
"((-70.655976, -33.4707645), (-70.6559919, -33.4703231))",primary,road
"((-64.9639428, -40.7353149), (-64.9628969, -40.7352166))",tertiary,road
"((-61.9354936, -31.9562529), (-61.9462234, -31.9543778))",unclassified,road
"((-70.6098243, -33.5228543), (-70.6099232, -33.5228414))",secondary,road
"((-55.3063451, -25.9012704), (-55.3064948, -25.901177))",unclassified,road
"((-59.7279579, -34.536216), (-59.7301966, -34.5378655))",service,road
"((-54.5621131, -25.6028675), (-54.5622098, -25.6031459))",service,road
"((-59.6585782, -27.5645001), (-59.6584753, -27.5643754))",tertiary,road
"((-56.0195238, -34.8547768), (-56.0196313, -34.854702))",service,road
"((-49.9403358, -28.5785503), (-49.9411521, -28.5788506))",unclassified,road
"((-51.2177816, -29.5331059), (-51.217736, -29.5328259))",tertiary,road
"((-70.3873237, -23.5871248), (-70.3873841, -23.5871293))",tertiary,road
"((-68.4893023, -31.6088522), (-68.4891251, -31.6078437))",tertiary,road
"((-61.1053143, -34.3502017), (-61.1081442, -34.3526131))",service,road
"((-59.7395269, -35.6192088), (-59.7353474, -35.6154368))",tertiary,road
"((-51.0838516, -29.9389968), (-51.0836364, -29.938893))",primary,road
"((-54.460242, -27.704756), (-54.4603698, -27.7047666))",service,road
"((-54.5330094, -25.4999291), (-54.5333664, -25.500061))",secondary,road
"((-67.3033718, -54.055464), (-67.3034791, -54.0551806))",unclassified,road
"((-53.1876493, -25.9063002), (-53.1876493, -25.9062004))",unclassified,road
"((-52.3289645, -25.0573488), (-52.329002, -25.0574654))",unclassified,road
"((-49.0155273, -28.4691941), (-49.0156066, -28.469153))",primary,road
"((-64.1662878, -25.5118273), (-64.1668403, -25.5074164))",unclassified,road
"((-50.1494527, -29.6835036), (-50.1494338, -29.6836888))",motorway,road
"((-64.7488633, -24.4773972), (-64.7509499, -24.4851576))",unclassified,road
"((-55.7008544, -24.4530068), (-55.7014105, -24.4530995))",unclassified,road
"((-55.938596, -27.3614793), (-55.9388074, -27.3630079))",primary,road
"((-60.4097426, -31.7684464), (-60.4101331, -31.7691543))",tertiary,road
"((-53.0166822, -26.0168193), (-53.0166736, -26.0163804))",unclassified,road
"((-61.7158198, -36.3003414), (-61.7146204, -36.3013267))",tertiary,road
"((-51.0088926, -29.439399), (-51.008878, -29.439204))",unclassified,road
"((-55.2352431, -27.0499271), (-55.2352217, -27.0514301))",secondary,road
"((-69.3362548, -22.9098743), (-69.3364656, -22.9100592))",motorway,road
"((-53.6158387, -26.9376245), (-53.6156102, -26.937588))",tertiary,road
"((-52.2617657, -29.392572), (-52.2621804, -29.3923383))",unclassified,road
"((-54.9987494, -25.7145198), (-54.9997736, -25.7138172))",unclassified,road
"((-60.2349986, -34.2987256), (-60.236018, -34.29849))",secondary,road
"((-63.2156278, -28.6248883), (-63.2155787, -28.6252381))",unclassified,road
"((-52.6880009, -27.2963642), (-52.6882216, -27.2962961))",primary,road
"((-53.5471953, -26.3676304), (-53.5478005, -26.3672591))",tertiary,road
"((-73.1544394, -36.9370184), (-73.154416, -36.9369741))",service,road
"((-68.8112999, -32.9151062), (-68.8115955, -32.9156315))",secondary,road
"((-53.8398083, -25.7297924), (-53.8399907, -25.7303529))",unclassified,road
"((-52.3567937, -27.2808445), (-52.3569708, -27.2808302))",tertiary,road
"((-70.8445869, -33.411723), (-70.8434055, -33.4130507))",service,road
"((-56.2704482, -29.0023995), (-56.2699523, -28.9989317))",unclassified,road
"((-71.4550672, -43.0948649), (-71.4554519, -43.094866))",tertiary,road
"((-50.9160662, -29.9354709), (-50.9173952, -29.9354961))",service,road
"((-72.7009105, -38.7452109), (-72.7009079, -38.7452641))",tertiary,road
"((-58.3869147, -34.8823421), (-58.3868413, -34.8829624))",tertiary,road
