
geometry,class,subtype
"((-73.0775397, -40.0015127), (-73.0774537, -40.001499))",tertiary,road
"((-63.8531061, -37.89215), (-63.8534784, -37.8919077))",unclassified,road
"((-51.8809953, -28.081004), (-51.8811214, -28.0808526))",unclassified,road
"((-63.8370356, -37.3935134), (-63.8370357, -37.3934704))",secondary,road
"((-49.0348591, -28.4832323), (-49.0347603, -28.4832967))",primary,road
"((-64.7423781, -26.5064845), (-64.7423308, -26.506349))",tertiary,road
"((-51.944016, -29.4388814), (-51.9437442, -29.4389631))",tertiary,road
"((-60.3466103, -36.8971029), (-60.3457915, -36.8964549))",secondary,road
"((-69.1213206, -30.1935744), (-69.1214791, -30.1934225))",tertiary,road
"((-63.7606245, -29.4362228), (-63.7606406, -29.4363069))",unclassified,road
"((-51.7915262, -28.808881), (-51.7913626, -28.8086777))",secondary,road
"((-52.9730219, -25.4004716), (-52.9713738, -25.4017692))",tertiary,road
"((-48.7037483, -28.2150705), (-48.7041378, -28.2150568))",secondary,road
"((-54.3340808, -24.8723835), (-54.333983, -24.8724159))",secondary,road
"((-70.6234264, -33.6234029), (-70.6233093, -33.6233807))",tertiary,road
"((-54.6910985, -27.7709712), (-54.6913515, -27.7712161))",unclassified,road
"((-70.7556616, -33.5224566), (-70.7561524, -33.5223376))",tertiary,road
"((-60.7760646, -33.0014648), (-60.7762123, -33.0018384))",,rail
"((-70.655976, -33.4707645), (-70.6559919, -33.4703231))",primary,road
"((-64.9639428, -40.7353149), (-64.9628969, -40.7352166))",tertiary,road
"((-61.9354936, -31.9562529), (-61.9462234, -31.9543778))",unclassified,road
"((-70.6098243, -33.5228543), (-70.6099232, -33.5228414))",secondary,road
"((-55.306213, -25.9013657), (-55.3063451, -25.9012704))",unclassified,road
"((-59.7279579, -34.536216), (-59.7301966, -34.5378655))",service,road
"((-54.5606555, -25.6002438), (-54.5606296, -25.6004193))",service,road
"((-59.6585782, -27.5645001), (-59.6584753, -27.5643754))",tertiary,road
"((-56.0187788, -34.8551026), (-56.019114, -34.8549636))",service,road
"((-49.9225768, -28.5743559), (-49.9230621, -28.5743753))",unclassified,road
"((-51.2177816, -29.5331059), (-51.217736, -29.5328259))",tertiary,road
"((-70.3873841, -23.5871293), (-70.3874451, -23.5871339))",tertiary,road
"((-68.4893023, -31.6088522), (-68.4891251, -31.6078437))",tertiary,road
"((-61.1053143, -34.3502017), (-61.1081442, -34.3526131))",service,road
"((-59.7395269, -35.6192088), (-59.7353474, -35.6154368))",tertiary,road
